CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
2798,1222,47,METHANE,74-82-8,0.0
2799,1223,24,CARBON MONOXIDE,630-08-0,100.0
2800,1223,36,HYDROGEN,1333-74-0,0.0
2801,1223,47,METHANE,74-82-8,0.0
2802,1224,24,CARBON MONOXIDE,630-08-0,100.0
2803,1224,36,HYDROGEN,1333-74-0,0.0
2804,1224,47,METHANE,74-82-8,0.0
2805,1225,24,CARBON MONOXIDE,630-08-0,100.0
2806,1225,36,HYDROGEN,1333-74-0,0.0
2807,1225,47,METHANE,74-82-8,0.0
2808,1226,24,CARBON MONOXIDE,630-08-0,100.0
2809,1226,36,HYDROGEN,1333-74-0,0.0
2810,1226,47,METHANE,74-82-8,0.0
2811,1227,24,CARBON MONOXIDE,630-08-0,100.0
2812,1227,36,HYDROGEN,1333-74-0,0.0
2813,1227,47,METHANE,74-82-8,0.0
2814,1228,24,CARBON MONOXIDE,630-08-0,100.0
2815,1228,36,HYDROGEN,1333-74-0,0.0
2816,1228,47,METHANE,74-82-8,0.0
2817,1229,24,CARBON MONOXIDE,630-08-0,100.0
2818,1229,36,HYDROGEN,1333-74-0,0.0
2819,1229,47,METHANE,74-82-8,0.0
2820,1230,24,CARBON MONOXIDE,630-08-0,100.0
2821,1230,36,HYDROGEN,1333-74-0,0.0
2822,1230,47,METHANE,74-82-8,0.0
2826,1231,160,DIETHYLAMINE,109-89-7,38.2
2827,1231,48,METHANOL,67-56-1,60.1
2828,1231,99,WATER,7732-18-5,1.7
2829,1232,48,METHANOL,67-56-1,100.0
2830,1233,250,ACETIC ACID,64-19-7,0.25
2832,1233,99,WATER,7732-18-5,97.75
2833,1234,46,ISOPROPANOL,67-63-0,10.0
2834,1234,349,ISOPROPYL ACETATE,108-21-4,50.0
2835,1234,99,WATER,7732-18-5,28.0
2836,1233,349,ISOPROPYL ACETATE,108-21-4,2.0
2846,1238,46,ISOPROPANOL,67-63-0,10.0
2847,1238,349,ISOPROPYL ACETATE,108-21-4,50.0
2848,1238,99,WATER,7732-18-5,28.0
2849,1239,250,ACETIC ACID,64-19-7,0.25
2850,1239,349,ISOPROPYL ACETATE,108-21-4,2.0
2851,1239,99,WATER,7732-18-5,97.75
2858,1242,46,ISOPROPANOL,67-63-0,40.0
